,Ruta,Cant_pred,y_proba,y_pred,Cant_test,Especie,y_test
1187,Muestreo ct sauce/CT S 2021/S1/1-S1- (482).JPG,4,0.09850000000000003,0,1.0,choique,1
1190,Muestreo ct sauce/CT S 2021/S1/1-S1- (847).JPG,3,0.07233333333333336,0,1.0,guanaco,1
1195,Muestreo ct sauce/CT S 2021/S1/2-S1- (211).JPG,1,0.947,1,2.0,guanaco,0
1218,Muestreo ct sauce/CT S 2021/S11/0-S11- (571).JPG,2,0.09549999999999992,0,1.0,guanaco,1
1222,Muestreo ct sauce/CT S 2021/S11/0-S11- (781).JPG,1,0.918,1,2.0,choique,0
1225,Muestreo ct sauce/CT S 2021/S11/1-S11- (171).JPG,1,0.903,1,2.0,choique,0
1236,Muestreo ct sauce/CT S 2021/S13/0-S13- (1055).JPG,2,0.04249999999999998,0,1.0,guanaco,1
1239,Muestreo ct sauce/CT S 2021/S13/0-S13- (107).JPG,5,0.06540000000000001,0,1.0,guanaco,1
1241,Muestreo ct sauce/CT S 2021/S13/0-S13- (1081).JPG,2,0.03750000000000009,0,1.0,guanaco,1
1247,Muestreo ct sauce/CT S 2021/S13/0-S13- (1131).JPG,2,0.03649999999999998,0,1.0,guanaco,1
1251,Muestreo ct sauce/CT S 2021/S13/0-S13- (1176).JPG,2,0.07299999999999995,0,1.0,guanaco,1
1252,Muestreo ct sauce/CT S 2021/S13/0-S13- (1181).JPG,3,0.07333333333333325,0,1.0,guanaco,1
1273,Muestreo ct sauce/CT S 2021/S13/0-S13- (56).JPG,2,0.08099999999999996,0,1.0,guanaco,1
1274,Muestreo ct sauce/CT S 2021/S13/0-S13- (60).JPG,2,0.07850000000000001,0,1.0,guanaco,1
1276,Muestreo ct sauce/CT S 2021/S13/0-S13- (81).JPG,3,0.09600000000000009,0,1.0,guanaco,1
1280,Muestreo ct sauce/CT S 2021/S13/1-S13- (113).JPG,5,0.09040000000000004,0,1.0,guanaco,1
1281,Muestreo ct sauce/CT S 2021/S13/1-S13- (121).JPG,3,0.07833333333333325,0,1.0,guanaco,1
1292,Muestreo ct sauce/CT S 2021/S13/1-S13- (31).JPG,2,0.05899999999999994,0,1.0,guanaco,1
1299,Muestreo ct sauce/CT S 2021/S13/1-S13- (431).JPG,2,0.07699999999999996,0,1.0,choique,1
1300,Muestreo ct sauce/CT S 2021/S13/1-S13- (436).JPG,3,0.06633333333333324,0,1.0,choique,1
1303,Muestreo ct sauce/CT S 2021/S13/1-S13- (536).JPG,2,0.0665,0,1.0,guanaco,1
1306,Muestreo ct sauce/CT S 2021/S13/1-S13- (641).JPG,2,0.0674999999999999,0,1.0,guanaco,1
1324,Muestreo ct sauce/CT S 2021/S13/1-S13- (86).JPG,5,0.08679999999999999,0,1.0,guanaco,1
1327,Muestreo ct sauce/CT S 2021/S13/1-S13- (95).JPG,6,0.08866666666666667,0,1.0,guanaco,1
1332,Muestreo ct sauce/CT S 2021/S14/0-S14- (56).JPG,1,0.941,1,2.0,guanaco,0
1348,Muestreo ct sauce/CT S 2021/S15/0-S15- (188).JPG,2,0.04499999999999993,0,1.0,guanaco,1
1354,Muestreo ct sauce/CT S 2021/S15/0-S15- (21).JPG,1,0.919,1,3.0,guanaco,0
1355,Muestreo ct sauce/CT S 2021/S15/0-S15- (231).JPG,1,0.955,1,4.0,guanaco,0
1356,Muestreo ct sauce/CT S 2021/S15/0-S15- (232).JPG,2,0.05049999999999999,0,1.0,guanaco,1
1361,Muestreo ct sauce/CT S 2021/S15/0-S15- (261).JPG,2,0.05400000000000005,0,1.0,guanaco,1
1367,Muestreo ct sauce/CT S 2021/S15/0-S15- (406).JPG,2,0.031500000000000083,0,1.0,guanaco,1
1369,Muestreo ct sauce/CT S 2021/S15/0-S15- (408).JPG,3,0.09966666666666668,0,1.0,guanaco,1
1372,Muestreo ct sauce/CT S 2021/S15/0-S15- (421).JPG,2,0.08750000000000002,0,1.0,guanaco,1
1375,Muestreo ct sauce/CT S 2021/S15/0-S15- (441).JPG,2,0.07000000000000006,0,1.0,guanaco,1
1381,Muestreo ct sauce/CT S 2021/S15/0-S15- (516).JPG,4,0.09050000000000002,0,1.0,guanaco,1
1390,Muestreo ct sauce/CT S 2021/S15/1-S15- (16).JPG,2,0.04800000000000004,0,1.0,guanaco,1
1394,Muestreo ct sauce/CT S 2021/S15/1-S15- (19).JPG,3,0.05600000000000005,0,1.0,guanaco,1
1397,Muestreo ct sauce/CT S 2021/S15/1-S15- (210).JPG,4,0.07800000000000007,0,1.0,guanaco,1
1401,Muestreo ct sauce/CT S 2021/S15/1-S15- (286).JPG,1,0.976,1,2.0,guanaco,0
1404,Muestreo ct sauce/CT S 2021/S15/1-S15- (298).JPG,3,0.04700000000000004,0,1.0,guanaco,1
1406,Muestreo ct sauce/CT S 2021/S15/1-S15- (306).JPG,2,0.04499999999999993,0,1.0,guanaco,1
1410,Muestreo ct sauce/CT S 2021/S15/1-S15- (368).JPG,5,0.08179999999999998,0,1.0,guanaco,1
1413,Muestreo ct sauce/CT S 2021/S15/1-S15- (381).JPG,3,0.06799999999999995,0,1.0,guanaco,1
1420,Muestreo ct sauce/CT S 2021/S15/1-S15- (458).JPG,3,0.09566666666666668,0,1.0,guanaco,1
1422,Muestreo ct sauce/CT S 2021/S15/1-S15- (462).JPG,4,0.08274999999999999,0,1.0,guanaco,1
1446,Muestreo ct sauce/CT S 2021/S15/1-S15- (85).JPG,2,0.08899999999999997,0,1.0,guanaco,1
1447,Muestreo ct sauce/CT S 2021/S16/0-S16 (147).JPG,1,0.963,1,2.0,passeriforme,0
1454,Muestreo ct sauce/CT S 2021/S16/0-S16 (69).JPG,2,0.04150000000000009,0,1.0,guanaco,1
1459,Muestreo ct sauce/CT S 2021/S16/1-S16- (121).JPG,2,0.0635,0,1.0,choique,1
1460,Muestreo ct sauce/CT S 2021/S16/1-S16- (123).JPG,3,0.08000000000000007,0,1.0,choique,1
1468,Muestreo ct sauce/CT S 2021/S16/1-S16- (191).JPG,2,0.04300000000000004,0,1.0,guanaco,1
1469,Muestreo ct sauce/CT S 2021/S16/1-S16- (21).JPG,2,0.038000000000000034,0,1.0,guanaco,1
1478,Muestreo ct sauce/CT S 2021/S16/1-S16- (326).JPG,3,0.04466666666666663,0,1.0,guanaco,1
1480,Muestreo ct sauce/CT S 2021/S16/1-S16- (396).JPG,2,0.06899999999999995,0,1.0,guanaco,1
1487,Muestreo ct sauce/CT S 2021/S16/1-S16- (424).JPG,2,0.05049999999999999,0,1.0,guanaco,1
1491,Muestreo ct sauce/CT S 2021/S16/1-S16- (486).JPG,2,0.06400000000000006,0,1.0,guanaco,1
1527,Muestreo ct sauce/CT S 2021/S17/1-S17- (4050).JPG,2,0.09999999999999998,0,1.0,mara,1
1548,Muestreo ct sauce/CT S 2021/S18/1-S18- (2539).JPG,2,0.04249999999999998,0,1.0,guanaco,1
1562,Muestreo ct sauce/CT S 2021/S19/0-S19- (221).JPG,4,0.08025000000000004,0,1.0,guanaco,1
1575,Muestreo ct sauce/CT S 2021/S19/1-S19- (111).JPG,2,0.07299999999999995,0,1.0,guanaco,1
1576,Muestreo ct sauce/CT S 2021/S19/1-S19- (151).JPG,1,0.956,1,2.0,guanaco,0
1578,Muestreo ct sauce/CT S 2021/S19/1-S19- (161).JPG,2,0.039000000000000035,0,1.0,guanaco,1
1579,Muestreo ct sauce/CT S 2021/S19/1-S19- (166).JPG,2,0.05149999999999999,0,1.0,guanaco,1
1580,Muestreo ct sauce/CT S 2021/S19/1-S19- (22).JPG,2,0.03300000000000003,0,1.0,guanaco,1
1593,Muestreo ct sauce/CT S 2021/S19/1-S19- (580).JPG,2,0.05400000000000005,0,1.0,guanaco,1
1599,Muestreo ct sauce/CT S 2021/S19/2-S19- (164).JPG,2,0.08800000000000008,0,1.0,guanaco,1
1611,Muestreo ct sauce/CT S 2021/S19/2-S19- (38).JPG,2,0.04300000000000004,0,1.0,guanaco,1
1612,Muestreo ct sauce/CT S 2021/S19/2-S19- (51).JPG,2,0.039000000000000035,0,1.0,guanaco,1
1619,Muestreo ct sauce/CT S 2021/S2/1-S2- (142).JPG,2,0.051000000000000045,0,1.0,guanaco,1
1623,Muestreo ct sauce/CT S 2021/S2/1-S2- (210).JPG,2,0.062000000000000055,0,1.0,guanaco,1
