file,category,confidence,Ruta,Fecha,Hora,Datetime,FechaHora,Rafaga
S4-a- (2151).JPG,animal,0.889,Muestreo ct sauce/CT S 2023/S4/S4-a- (2151).JPG,2023-02-23,09:43:21,2023-02-23 09:43:21,2023-02-23 09:43:21,467
S4-a- (2152).JPG,animal,0.843,Muestreo ct sauce/CT S 2023/S4/S4-a- (2152).JPG,2023-02-23,09:43:25,2023-02-23 09:43:25,2023-02-23 09:43:25,468
S4-a- (2153).JPG,animal,0.914,Muestreo ct sauce/CT S 2023/S4/S4-a- (2153).JPG,2023-02-23,09:43:26,2023-02-23 09:43:26,2023-02-23 09:43:26,469
S4-a- (2154).JPG,animal,0.824,Muestreo ct sauce/CT S 2023/S4/S4-a- (2154).JPG,2023-02-23,09:43:27,2023-02-23 09:43:27,2023-02-23 09:43:27,470
S4-a- (2155).JPG,animal,0.85,Muestreo ct sauce/CT S 2023/S4/S4-a- (2155).JPG,2023-02-23,09:43:29,2023-02-23 09:43:29,2023-02-23 09:43:29,471
S4-a- (2156).JPG,animal,0.867,Muestreo ct sauce/CT S 2023/S4/S4-a- (2156).JPG,2023-02-23,09:43:30,2023-02-23 09:43:30,2023-02-23 09:43:30,472
S4-a- (2157).JPG,animal,0.848,Muestreo ct sauce/CT S 2023/S4/S4-a- (2157).JPG,2023-02-23,09:43:31,2023-02-23 09:43:31,2023-02-23 09:43:31,473
S4-a- (2158).JPG,animal,0.884,Muestreo ct sauce/CT S 2023/S4/S4-a- (2158).JPG,2023-02-23,09:43:45,2023-02-23 09:43:45,2023-02-23 09:43:45,474
S4-a- (2159).JPG,animal,0.9,Muestreo ct sauce/CT S 2023/S4/S4-a- (2159).JPG,2023-02-23,09:43:46,2023-02-23 09:43:46,2023-02-23 09:43:46,475
S4-a- (2160).JPG,animal,0.901,Muestreo ct sauce/CT S 2023/S4/S4-a- (2160).JPG,2023-02-23,09:43:46,2023-02-23 09:43:46,2023-02-23 09:43:46,476
S4-a- (2161).JPG,animal,0.919,Muestreo ct sauce/CT S 2023/S4/S4-a- (2161).JPG,2023-02-23,09:54:08,2023-02-23 09:54:08,2023-02-23 09:54:08,476
S4-a- (2162).JPG,animal,0.893,Muestreo ct sauce/CT S 2023/S4/S4-a- (2162).JPG,2023-02-23,09:54:09,2023-02-23 09:54:09,2023-02-23 09:54:09,476
S4-a- (2163).JPG,animal,0.91,Muestreo ct sauce/CT S 2023/S4/S4-a- (2163).JPG,2023-02-23,09:54:09,2023-02-23 09:54:09,2023-02-23 09:54:09,477
S4-a- (2164).JPG,animal,0.899,Muestreo ct sauce/CT S 2023/S4/S4-a- (2164).JPG,2023-02-23,10:01:40,2023-02-23 10:01:40,2023-02-23 10:01:40,477
S4-a- (2165).JPG,animal,0.915,Muestreo ct sauce/CT S 2023/S4/S4-a- (2165).JPG,2023-02-23,10:01:41,2023-02-23 10:01:41,2023-02-23 10:01:41,477
S4-a- (2166).JPG,animal,0.852,Muestreo ct sauce/CT S 2023/S4/S4-a- (2166).JPG,2023-02-23,10:01:41,2023-02-23 10:01:41,2023-02-23 10:01:41,478
S4-a- (2167).JPG,animal,0.86,Muestreo ct sauce/CT S 2023/S4/S4-a- (2167).JPG,2023-02-23,10:02:18,2023-02-23 10:02:18,2023-02-23 10:02:18,479
S4-a- (2168).JPG,animal,0.846,Muestreo ct sauce/CT S 2023/S4/S4-a- (2168).JPG,2023-02-23,10:02:18,2023-02-23 10:02:18,2023-02-23 10:02:18,480
S4-a- (2169).JPG,animal,0.884,Muestreo ct sauce/CT S 2023/S4/S4-a- (2169).JPG,2023-02-23,10:02:18,2023-02-23 10:02:18,2023-02-23 10:02:18,481
